id;name_process;fonction;description;date
1;Expressway Handcrafted Centralized;Awesome Frozen Table alliance compressing;Granite generating;Visionary
2;Function-based;Investor;Frozen Accountability;Garden Small Frozen
3;wireless virtual deposit;Keyboard deposit;ubiquitous;Intelligent Rubber Keyboard revolutionary
4;Plastic;Engineer discrete;Metrics;Auto Loan Account
5;Guinea Franc uniform;indexing Credit Card Account;PCI Land port;robust Ball
6;Checking Account Credit Card Account copying;Tasty Metal Chips Singapore Dollar Tuna;Coordinator SSL;driver Communications calculating
7;driver;withdrawal hacking North Carolina;attitude-oriented Principal;Berkshire magenta customer loyalty
8;Visionary Designer;Garden Dynamic next-generation;port;invoice
9;Missouri Engineer;mindshare Lead;evolve Phased Factors;PCI
10;deposit;Metrics;database;middleware structure
